Region,Year,Personal income (thousands of dollars),Population (persons),Per capita personal income (dollars),Construction,Manufacturing,Wholesale trade,Retail trade,Information,"Professional, scientific, and technical services",Administrative and support and waste management and remediation services,Other services (except government and government enterprises),Farm earnings Forestry Fishing Mining Quarrying Oil Gas extraction,Finance Insurance Real estate Rental Leasing,Arts Entertainment Recreation Accommodation Food services,State County Code
5.0,2016,412683.0,12451.0,33145.0,13531.0,129447.0,3259.0,12882.0,,2951.0,,,11362.02,4151.0,,05081
5.0,2016,725652.0,21792.0,33299.0,19783.0,60514.0,4479.0,23669.0,1906.0,7442.0,,18722.0,43378.0,12341.0,5837.0,05083
5.0,2016,2653771.0,72228.0,36742.0,76082.0,108947.0,31311.0,67421.0,5294.0,26623.0,23218.0,50309.0,47157.020000000004,57701.0,34317.0,05085
5.0,2016,504919.0,16072.0,31416.0,13239.0,53107.0,,16749.0,5059.0,4649.0,4332.0,11743.0,42098.0,4777.0,,05087
5.0,2016,488169.0,16325.0,29903.0,10257.0,73451.0,2119.0,13912.0,5539.0,3800.0,,8905.0,-1101.98,10643.0,,05089
5.0,2016,1407220.0,43787.0,32138.0,57536.0,187534.0,,38875.0,7386.0,,28862.0,40489.0,19621.0,28226.0,30460.0,05091
5.0,2016,1376911.0,42835.0,32145.0,83910.0,457008.0,25218.0,50938.0,2097.0,10070.0,35805.0,34108.0,8516.0,28894.0,26112.0,05093
5.0,2016,261387.0,7169.0,36461.0,2124.0,6313.0,11509.0,8540.0,,1530.0,,7882.0,32698.01,7013.0,4179.01,05095
5.0,2016,249066.0,8879.0,28051.0,7922.0,2378.0,2159.0,4475.0,,,1672.0,7288.0,10101.02,3876.0,,05097
5.0,2016,280435.0,8398.0,33393.0,,,,8290.0,,,,,14832.0,3182.0,,05099
5.0,2016,213451.0,7936.0,26897.0,,1813.0,,,56.0,,,,-2078.9799999999996,,,05101
5.0,2016,828536.0,24098.0,34382.0,13757.0,43310.0,17430.0,29124.0,2570.0,,9491.0,18796.0,15239.0,12844.0,8359.01,05103
5.0,2016,332060.0,10132.0,32773.0,11318.0,2100.0,1078.0,3984.0,,2011.0,2690.0,6837.0,5486.02,1558.01,,05105
5.0,2016,597444.0,18975.0,31486.0,8036.0,21368.0,17967.0,22288.0,1983.0,,8472.0,19334.0,22169.0,11048.0,5910.0,05107
5.0,2016,329164.0,10832.0,30388.0,11001.0,10287.0,4745.0,10477.0,1482.0,,3696.0,7722.0,5230.02,12393.0,3875.0,05109
5.0,2016,728511.0,24023.0,30326.0,15949.0,43034.0,28126.0,20577.0,3307.0,2746.0,,16309.0,35104.020000000004,12494.0,,05111
5.0,2016,578398.0,20173.0,28672.0,17482.0,55205.0,2922.0,22502.0,3269.0,5375.0,,17858.0,28987.0,13823.0,8201.01,05113
5.0,2016,2125828.0,63779.0,33331.0,123717.0,231085.0,,104370.0,9030.0,49398.0,69082.0,56226.0,67740.0,68599.0,55518.0,05115
5.0,2016,275705.0,8251.0,33415.0,,,7343.0,6411.0,,3048.0,1735.0,,36407.0,3539.0,,05117
