State County Code,Year,ALAND,AWATER,INTPTLAT,INTPTLONG
09013,2016,1062731511,17531739,41.858081,-72.340978
09015,2016,1328344260,21706060,41.824999,-71.990702
10001,2016,1518566893,549101617,39.097088,-75.502982
10003,2016,1104159377,175370515,39.575915,-75.644132
10005,2016,2424468472,674248696,38.673227,-75.337024
11001,2016,158364992,18633403,38.904103,-77.017229
12001,2016,2266378727,242823267,29.675740,-82.357221
12003,2016,1515738958,9686120,30.324442,-82.302284
12005,2016,1964402055,711451660,30.238117,-85.631430
12007,2016,761362377,16904945,29.952386,-82.166599
12009,2016,2629853328,1402820790,28.298304,-80.700331
12011,2016,3126001968,300067051,26.193535,-80.476683
12013,2016,1469389206,18074798,30.388801,-85.197915
12015,2016,1764104250,458735965,26.868933,-81.941077
12017,2016,1507099402,495590953,28.843640,-82.524810
12019,2016,1566445255,100334057,29.986584,-81.865036
12021,2016,5176791360,793072151,26.118786,-81.400955
12023,2016,2065628009,9773963,30.221333,-82.623168
12027,2016,1649978040,6247257,27.190581,-81.806253
12029,2016,1826212266,410631095,29.580899,-83.195666
12031,2016,1975214580,403585903,30.335245,-81.648113
12033,2016,1701332835,564141187,30.611638,-87.338900
12035,2016,1257365642,221047161,29.474912,-81.286305
12037,2016,1411918809,1275529258,29.810176,-84.799174
12039,2016,1337193228,31687293,30.578687,-84.612607
12041,2016,905705521,14362154,29.723456,-82.795801
12043,2016,2089278744,466750789,26.954810,-81.190820
12045,2016,1433785083,494266609,29.907257,-85.256537
12047,2016,1330689578,13659798,30.491226,-82.951069
12049,2016,1651867900,1439673,27.492846,-81.821580
12051,2016,2994812007,86844519,26.539967,-81.152114
12053,2016,1224612184,300943525,28.573043,-82.466227
12055,2016,2632946297,231658824,27.342627,-81.340921
12057,2016,2642601017,635592710,27.906607,-82.349719
12059,2016,1239970210,26656232,30.866222,-85.812959
12061,2016,1302197701,295585011,27.700528,-80.574789
12063,2016,2378066857,94243008,30.789250,-85.208813
12065,2016,1549056457,99567329,30.424558,-83.890859
12067,2016,1407427927,11646352,29.990066,-83.178510
12069,2016,2436857504,559656978,28.764113,-81.712282
12071,2016,2030766730,1109263864,26.559035,-81.891994
12073,2016,1727171525,90453994,30.459310,-84.277800
12075,2016,2896206271,762912636,29.284457,-82.783462
12077,2016,2164099097,19582444,30.259849,-84.868580
12079,2016,1802907388,50728161,30.447233,-83.470416
12081,2016,1924766330,387447446,27.481682,-82.368767
12083,2016,4112982359,193293405,29.202805,-82.043100
12085,2016,1408245189,542261632,27.083604,-80.398201
12086,2016,4917514829,1379208315,25.610580,-80.499137
12087,2016,2545997177,7133387352,25.615457,-81.189971
12089,2016,1679966560,200159166,30.605926,-81.764929
12091,2016,2409367474,393201915,30.665851,-86.594187
12093,2016,1991451255,318560309,27.385592,-80.887388
12095,2016,2339574597,258804996,28.514435,-81.323295
12097,2016,3438635835,461982752,28.059027,-81.139312
12099,2016,5101999314,1070455000,26.649124,-80.448374
12101,2016,1936388730,312918997,28.307465,-82.464584
12103,2016,709121803,865923364,27.903122,-82.739518
12105,2016,4653579442,553462052,27.953115,-81.692783
12107,2016,1885199309,256516109,29.606006,-81.740894
